hometeam,awayteam,homegoals,awaygoals,year,round,leg1,leg2,highseedgoals,lowseedgoals,seriesid
HoustonDynamo,LosAngelesGalaxy,4,2,2003,Quarter,False,True,4,2,2003q1
NewEnglandRevolution,NewYorkRedBulls,1,1,2003,Quarter,False,True,1,1,2003q2
ChicagoFire,DCUnited,2,0,2003,Quarter,False,True,2,0,2003q3
SportingKansasCity,ColoradoRapids,2,0,2003,Quarter,False,True,2,0,2003q4
ColoradoRapids,SportingKansasCity,1,1,2003,Quarter,True,False,1,1,2003q4
DCUnited,ChicagoFire,0,2,2003,Quarter,True,False,2,0,2003q3
LosAngelesGalaxy,HoustonDynamo,2,0,2003,Quarter,True,False,0,2,2003q1
NewYorkRedBulls,NewEnglandRevolution,0,2,2003,Quarter,True,False,2,0,2003q2
ColumbusCrew,NewEnglandRevolution,1,1,2004,Quarter,False,True,1,1,2004q1
DCUnited,NewYorkRedBulls,2,0,2004,Quarter,False,True,2,0,2004q2
LosAngelesGalaxy,ColoradoRapids,2,0,2004,Quarter,False,True,2,0,2004q3
SportingKansasCity,HoustonDynamo,3,0,2004,Quarter,False,True,3,0,2004q4
HoustonDynamo,SportingKansasCity,2,0,2004,Quarter,True,False,0,2,2004q4
NewEnglandRevolution,ColumbusCrew,1,0,2004,Quarter,True,False,0,1,2004q1
NewYorkRedBulls,DCUnited,0,2,2004,Quarter,True,False,2,0,2004q2
ColoradoRapids,LosAngelesGalaxy,1,0,2004,Quarter,True,False,0,1,2004q3
DCUnited,ChicagoFire,0,4,2005,Quarter,False,True,0,4,2005q1
FCDallas,ColoradoRapids,2,3,2005,Quarter,False,True,2,3,2005q2
HoustonDynamo,LosAngelesGalaxy,1,1,2005,Quarter,False,True,1,1,2005q3
NewEnglandRevolution,NewYorkRedBulls,3,1,2005,Quarter,False,True,3,1,2005q4
LosAngelesGalaxy,HoustonDynamo,3,1,2005,Quarter,True,False,1,3,2005q3
ColoradoRapids,FCDallas,0,0,2005,Quarter,True,False,0,0,2005q2
NewYorkRedBulls,NewEnglandRevolution,1,0,2005,Quarter,True,False,0,1,2005q4
ChicagoFire,DCUnited,0,0,2005,Quarter,True,False,0,0,2005q1
DCUnited,NewYorkRedBulls,1,1,2006,Quarter,False,True,1,1,2006q1
HoustonDynamo,ChivasUSA,2,0,2006,Quarter,False,True,2,0,2006q2
FCDallas,ColoradoRapids,1,2,2006,Quarter,False,True,1,2,2006q3
NewEnglandRevolution,ChicagoFire,2,1,2006,Quarter,False,True,2,1,2006q4
ChivasUSA,HoustonDynamo,2,1,2006,Quarter,True,False,1,2,2006q2
ChicagoFire,NewEnglandRevolution,1,0,2006,Quarter,True,False,0,1,2006q4
ColoradoRapids,FCDallas,1,2,2006,Quarter,True,False,2,1,2006q3
NewYorkRedBulls,DCUnited,0,1,2006,Quarter,True,False,1,0,2006q1
ChivasUSA,SportingKansasCity,0,0,2007,Quarter,False,True,0,0,2007q1
NewEnglandRevolution,NewYorkRedBulls,1,0,2007,Quarter,False,True,1,0,2007q2
HoustonDynamo,FCDallas,2,1,2007,Quarter,False,True,2,1,2007q3
